player,position,crimeraw,crime_count
T.J. Slaughter,LB,"assault, gun",2
Juran Bolden,CB,"theft, drugs",2
John Abraham,DE,dui,1
Jarrod Cooper,S,"dui, drugs",2
Matt Wilhelm,LB,dui,1
Leonardo Carson,DT,"burglary, assault",2
Chris McAlister,CB,dui,1
Mike Nattiel,LB,dui,1
Daryl Gardener,DT,disorderly conduct,1
Russell Newman,DT,disorderly conduct,1
Justin Seaverns,LB,harassment,1
Jermaine Haley,DT,dui,1
Keith Hamilton,DT,drugs,1
Joe Johnson,DE,drugs,1
Ramon Walker,S,alcohol,1
Bruce Smith,DE,dui,1
Dwight Smith,S,gun,1
Terrell Suggs,LB,assault,1
Jason Gildon,LB,trespassing,1
Eric Warfield,CB,dui,1
Peppi Zellner,DE,drugs,1
Dwayne Goodrich,CB,manslaughter,1
Damon Moore,S,dui,1
Kenny Mixon,DE,dui,1
John Mobley,LB,dui,1
Bryan Robinson,DE,dui,1
Darren Hambrick,LB,theft,1
Lew Bush,LB,dui,1
Darrell Russell,DT,dui,1
Kenny Mixon,DE,dui,1
Derrick Rodgers,LB,domestic violence,1
Aaron Beasley,CB,battery,1
Mike Rumph,CB,dui,1
Bryan Robinson,DE,dui,1
Joseph Jefferson,CB,gun,1
Chris Sullivan,DE,dui,1
Jarrod Cooper,S,dui,1
Leonardo Carson,DT,"assault, gun",2
Darrell Russell,DT,sexual assault,1
Bobby Hamilton,DE,domestic violence,1
Eric Warfield,CB,dui,1
Damon Moore,S,animal abuse,1
Gerard Warren,DT,gun,1
Lamar Chapman,CB,drugs,1
Terrence Carroll,S,drugs,1
Ray Thompson,LB,dui,1
Damien Robinson,S,gun,1
Cornell Brown,LB,drugs,1
Vaughn Booker,DE,domestic violence,1
Tom Barndt,DT,dui,1
Corey Fuller,CB,disorderly conduct,1
Michael Hawthorne,CB,"drugs, reckless driving",2
Ben Kelly,CB,dui,1
Alex Ardley,CB,dui,1
Chris McAlister,CB,disorderly conduct,1
Jeremiah Parker,DE,"manslaughter, child abuse",2
Jeremiah Pharms,LB,"theft, gun",2
Jermaine Haley,DT,dui,1
Leonardo Carson,DT,assault,1
Tremain Mack,S,probation violation,1
Dana Stubblefield,DT,domestic violence,1
Damien Robinson,S,theft,1
Darren Perry,S,dui,1
Bill Romanowski,LB,drugs,1
Patrick Surtain,CB,dui,1
Leonardo Carson,DT,assault,1
Bryan Robinson,DE,battery,1
Charles Woodson,CB,dui,1
Chris McAlister,CB,drugs,1
Steve Foley,LB,gun,1
Steve Foley,LB,domestic violence,1
Ray Lewis,LB,murder,1
